,Team,Week,Standard Rank,Adjusted Rank,Ranking Change
0,gonzaga,17,1,1,0
1,virginia,17,2,1,1
2,duke,17,3,1,2
3,kentucky,17,4,1,3
4,north-carolina,17,5,1,4
5,michigan-state,17,6,1,5
6,tennessee,17,7,1,6
7,michigan,17,8,1,7
8,marquette,17,9,1,8
9,texas-tech,17,10,1,9
10,nevada,17,11,1,10
11,lsu,17,12,1,11
12,purdue,17,13,1,12
13,kansas,17,14,1,13
14,kansas-state,17,15,1,14
15,maryland,17,16,1,15
16,florida-state,17,17,1,16
17,wisconsin,17,18,19,-1
18,virginia-tech,17,19,22,-3
19,buffalo,17,20,18,2
20,iowa,17,21,20,1
21,cincinnati,17,22,20,2
22,wofford,17,23,23,0
23,louisville,17,24,24,0
24,villanova,17,25,25,0
