,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
11,29,1114,H,utep,65,-535,0.84251968503937,1,W,1,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,67,1114,H,west-virginia,64,-1800,0.9473684210526315,1,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,
10,27,1114,H,byu,95,-1040,0.9122807017543859,1,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,
23,99,1114,H,unlv,60,-245,0.7101449275362319,1,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
61,231,1116,H,unlv,59,-330,0.7674418604651163,1,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
6,17,1114,H,illinois,80,-10025,0.9901234567901235,1,W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,
41,165,1115,H,florida-state,81,-655,0.8675496688741722,1,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
46,179,1115,H,lsu,93,-1430,0.934640522875817,1,W,8,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,23.0,,,,,,,,,,,,,,23.0,,,,,,,,
15,65,1114,H,pittsburgh,78,-18500,0.9946236559139785,1,W,20,,25.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,25.0,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,25.0,,,,,,,23.0
52,209,1116,H,pittsburgh,63,NL,0.5,1,W,20,,25.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,25.0,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,25.0,,,,,,,23.0
