,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
11,50,1111,V,harvard,70,150,0.4,1,L,1,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,52,1111,N,vanderbilt,71,115,0.46511627906976744,1,L,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
49,207,1113,H,seton-hall,82,-21500,0.9953703703703703,1,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,23.0,,
23,87,1111,H,monmouth,78,-4000,0.975609756097561,1,W,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0
44,185,1113,H,michigan,77,-2500,0.9615384615384616,1,W,8,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,115,1111,H,colorado,90,-4250,0.9770114942528736,1,W,10,,,,,,,19.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,25.0,,,
14,54,1111,V,ohio-state,78,-1800,0.9473684210526315,1,W,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,14.0,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
48,203,1113,H,florida,76,-4000,0.975609756097561,1,W,18,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,20.0,,,24.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,151,1112,H,butler,89,-16000,0.9937888198757764,1,W,21,,,,25.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,24.0,,,,
41,171,1113,H,wichita-state,92,-600,0.8571428571428571,1,W,21,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,25.0,,,,,,,18.0,,,,23.0,22.0
10,47,1111,H,san-diego-state,69,-3500,0.9722222222222222,1,W,48,24.0,,,,,21.0,20.0,,,,24.0,,,25.0,,,,,,,,25.0,,25.0,,,,,,25.0,,,,25.0,,,22.0,25.0,,,25.0,,,,22.0,,,,,,,,,,,,,,23.0,23.0,,,21.0,,19.0
30,119,1111,H,california,82,-900,0.9,1,W,74,,,23.0,24.0,,,,,,,,,,20.0,,,,24.0,25.0,,25.0,,,,,,21.0,,,,,,,,,,,,20.0,23.0,,23.0,,,24.0,,24.0,,,,18.0,24.0,,,,,22.0,11.0,,,,,,,17.0
21,77,1111,H,dayton,96,-3500,0.9722222222222222,1,W,98,,,,,,,24.0,24.0,,,21.0,25.0,,17.0,,,14.0,,20.0,23.0,,20.0,,,,,25.0,,,,,23.0,20.0,,25.0,,23.0,,,,,,20.0,,,,,,,,22.0,21.0,,25.0,25.0,,,,,22.0,,,14.0,22.0,25.0
6,21,1111,H,cincinnati,84,-5500,0.9821428571428571,1,W,110,,22.0,,,16.0,22.0,21.0,,23.0,,17.0,,20.0,,,25.0,,,,20.0,,15.0,23.0,,24.0,22.0,,24.0,,,,,21.0,,,,,,,,,,,,,,,,,,,20.0,24.0,23.0,24.0,25.0,,,,,19.0,20.0,20.0,,24.0
34,129,1111,H,maryland,62,-4500,0.9782608695652174,1,W,144,22.0,,22.0,,,,,22.0,20.0,24.0,,24.0,24.0,19.0,20.0,21.0,24.0,,,,,,,,25.0,21.0,,25.0,,,19.0,,,,17.0,21.0,,,,20.0,18.0,,,23.0,17.0,21.0,,,23.0,23.0,,,,,17.0,,,,17.0,19.0,,16.0,,,
2,11,1111,H,rhode-island,84,-3250,0.9701492537313433,1,W,199,,21.0,,20.0,18.0,24.0,,,,22.0,20.0,22.0,23.0,,25.0,,18.0,20.0,,,17.0,14.0,,21.0,23.0,,,,,20.0,22.0,21.0,17.0,,,22.0,,20.0,,,,21.0,22.0,24.0,25.0,23.0,22.0,,22.0,24.0,17.0,22.0,21.0,19.0,,21.0,24.0,19.0,,,22.0,,18.0,19.0,
