,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
21,74,1110,V,south-carolina,73,-265,0.726027397260274,1,W,1,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,151,1112,H,harvard,70,-330,0.7674418604651163,1,W,1,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,201,1113,H,south-carolina,78,-625,0.8620689655172413,1,W,1,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,71,1110,H,oakland,85,-400,0.8,1,W,2,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,267,1113,H,oregon,100,NL,0.5,1,W,2,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,1110,V,ball-state,77,200,0.3333333333333333,1,L,4,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,1110,H,dayton,78,-240,0.7058823529411765,1,W,5,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,199,1113,H,michigan,72,NL,0.5,1,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,22.0,,,,,,
29,105,1110,H,nevada,88,-550,0.8461538461538461,1,W,7,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
46,177,1112,H,oklahoma,108,NL,0.5,1,W,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,21.0,,,,,
