,season,week,pollster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,2014,1,elton-alexander,wisconsin,arizona,kentucky,louisville,kansas,duke,north-carolina,florida,wichita-state,iowa-state,gonzaga,villanova,virginia,connecticut,michigan-state,texas,oklahoma,vcu,syracuse,san-diego-state,harvard,cincinnati,georgetown,michigan,louisiana-tech
1,2014,2,elton-alexander,kentucky,arizona,wisconsin,duke,kansas,north-carolina,florida,louisville,virginia,texas,wichita-state,villanova,gonzaga,iowa-state,vcu,san-diego-state,connecticut,michigan-state,oklahoma,ohio-state,nebraska,southern-methodist,syracuse,michigan,utah
2,2014,3,elton-alexander,kentucky,arizona,wisconsin,duke,north-carolina,louisville,virginia,texas,wichita-state,gonzaga,villanova,kansas,iowa-state,vcu,san-diego-state,ohio-state,miami,florida,michigan,west-virginia,arkansas,creighton,connecticut,michigan-state,syracuse
3,2014,4,elton-alexander,kentucky,wisconsin,arizona,duke,louisville,texas,virginia,wichita-state,gonzaga,kansas,north-carolina,villanova,ohio-state,miami,san-diego-state,iowa-state,west-virginia,northern-iowa,oklahoma-state,vcu,arkansas,florida,michigan,michigan-state,connecticut
4,2014,5,elton-alexander,kentucky,arizona,duke,wisconsin,louisville,virginia,villanova,kansas,texas,gonzaga,iowa-state,oklahoma,butler,ohio-state,west-virginia,north-carolina,wichita-state,utah,northern-iowa,san-diego-state,miami,michigan,michigan-state,maryland,arkansas
5,2014,6,elton-alexander,kentucky,duke,arizona,louisville,wisconsin,virginia,villanova,texas,gonzaga,kansas,wichita-state,ohio-state,iowa-state,oklahoma,utah,washington,butler,san-diego-state,maryland,miami,west-virginia,st.-john's,notre-dame,north-carolina,northern-iowa
6,2014,7,elton-alexander,kentucky,duke,arizona,louisville,wisconsin,virginia,villanova,gonzaga,texas,kansas,wichita-state,iowa-state,washington,maryland,ohio-state,utah,oklahoma,st.-john's,notre-dame,west-virginia,miami,san-diego-state,north-carolina,colorado-state,davidson
7,2014,8,elton-alexander,kentucky,duke,virginia,wisconsin,louisville,arizona,villanova,gonzaga,iowa-state,utah,maryland,texas,kansas,notre-dame,wichita-state,st.-john's,west-virginia,oklahoma,washington,north-carolina,ohio-state,baylor,northern-iowa,colorado-state,davidson
8,2014,9,elton-alexander,kentucky,duke,virginia,wisconsin,louisville,gonzaga,arizona,utah,texas,villanova,maryland,kansas,notre-dame,iowa-state,wichita-state,west-virginia,oklahoma,north-carolina,lsu,arkansas,st.-john's,ohio-state,seton-hall,baylor,vcu
9,2014,10,elton-alexander,kentucky,virginia,gonzaga,villanova,duke,utah,louisville,wisconsin,kansas,arizona,wichita-state,iowa-state,vcu,maryland,north-carolina,arkansas,texas,notre-dame,oklahoma,west-virginia,seton-hall,dayton,wyoming,baylor,davidson
10,2014,11,elton-alexander,kentucky,virginia,gonzaga,villanova,duke,louisville,wisconsin,arizona,notre-dame,utah,wichita-state,iowa-state,kansas,maryland,north-carolina,texas,vcu,west-virginia,northern-iowa,oklahoma,indiana,dayton,baylor,san-diego-state,louisiana-tech
11,2014,12,elton-alexander,kentucky,virginia,gonzaga,duke,wisconsin,villanova,arizona,notre-dame,louisville,kansas,utah,iowa-state,wichita-state,north-carolina,vcu,maryland,west-virginia,northern-iowa,baylor,texas,georgetown,miami,wyoming,dayton,indiana
12,2014,13,elton-alexander,kentucky,gonzaga,wisconsin,duke,virginia,arizona,villanova,kansas,louisville,notre-dame,iowa-state,west-virginia,northern-iowa,utah,wichita-state,north-carolina,vcu,maryland,oklahoma,butler,baylor,texas-a&m,ohio-state,indiana,tulsa
13,2014,14,elton-alexander,kentucky,gonzaga,virginia,duke,wisconsin,villanova,arizona,utah,louisville,kansas,northern-iowa,notre-dame,iowa-state,north-carolina,wichita-state,baylor,oklahoma,butler,maryland,rhode-island,vcu,murray-state,southern-methodist,harvard,ohio-state
14,2014,15,elton-alexander,kentucky,virginia,gonzaga,duke,wisconsin,villanova,arizona,kansas,notre-dame,utah,louisville,northern-iowa,wichita-state,north-carolina,maryland,iowa-state,arkansas,southern-methodist,baylor,oklahoma,butler,vcu,oklahoma-state,west-virginia,ohio-state
15,2014,16,elton-alexander,kentucky,virginia,gonzaga,duke,wisconsin,villanova,arizona,notre-dame,northern-iowa,kansas,utah,wichita-state,iowa-state,louisville,maryland,oklahoma,north-carolina,arkansas,baylor,southern-methodist,west-virginia,vcu,michigan-state,murray-state,valparaiso
16,2014,17,elton-alexander,kentucky,virginia,duke,villanova,arizona,gonzaga,wisconsin,wichita-state,maryland,kansas,oklahoma,louisville,notre-dame,northern-iowa,baylor,utah,north-carolina,arkansas,iowa-state,butler,west-virginia,southern-methodist,dayton,murray-state,valparaiso
17,2014,18,elton-alexander,kentucky,duke,villanova,arizona,virginia,wisconsin,gonzaga,maryland,northern-iowa,notre-dame,wichita-state,kansas,iowa-state,utah,baylor,oklahoma,louisville,arkansas,north-carolina,west-virginia,southern-methodist,butler,ohio-state,davidson,georgetown
18,2014,19,elton-alexander,kentucky,duke,villanova,arizona,virginia,wisconsin,gonzaga,maryland,northern-iowa,notre-dame,wichita-state,kansas,iowa-state,utah,baylor,oklahoma,louisville,arkansas,north-carolina,west-virginia,southern-methodist,butler,ohio-state,davidson,georgetown
19,2014,1,tyson-alger,kentucky,arizona,duke,wisconsin,kansas,north-carolina,florida,virginia,wichita-state,texas,villanova,louisville,gonzaga,iowa-state,vcu,san-diego-state,michigan-state,oklahoma,ohio-state,nebraska,connecticut,michigan,syracuse,harvard,pittsburgh
20,2014,2,tyson-alger,kentucky,duke,arizona,wisconsin,kansas,north-carolina,florida,virginia,wichita-state,gonzaga,texas,louisville,villanova,iowa-state,vcu,san-diego-state,michigan-state,oklahoma,ohio-state,nebraska,connecticut,michigan,syracuse,pittsburgh,utah
21,2014,3,tyson-alger,kentucky,duke,arizona,wisconsin,north-carolina,wichita-state,gonzaga,virginia,texas,louisville,kansas,villanova,iowa-state,vcu,san-diego-state,miami,ohio-state,michigan-state,florida,michigan,west-virginia,oklahoma,georgetown,providence,stanford
22,2014,4,tyson-alger,kentucky,duke,arizona,wisconsin,wichita-state,gonzaga,virginia,texas,louisville,kansas,villanova,san-diego-state,miami,ohio-state,north-carolina,michigan-state,arkansas,west-virginia,oklahoma,butler,michigan,georgetown,providence,illinois,syracuse
