,2014,2015,2016,2017,2018,2019,2020
0,elton-alexander,elton-alexander,elton-alexander,elton-alexander,elton-alexander,chris-basnett,bob-ballou
1,tyson-alger,tyson-alger,tyson-alger,tyson-alger,kayla-anderson,jessica-benson,chris-basnett
2,jim-benson,mike-barber,mike-barber,mark-berman,john-bednarowski,mark-berman,mark-berman
3,mark-berman,mark-berman,mark-berman,john-bohnenkamp,mark-berman,sam-blum,sam-blum
4,john-bohnenkamp,john-bohnenkamp,john-bohnenkamp,dave-borges,john-bohnenkamp,dave-borges,dave-borges
5,dave-borges,dave-borges,dave-borges,rick-bozich,dave-borges,rick-bozich,jeff-borzello
6,rick-bozich,zac-boyer,rick-bozich,kevin-brockway,rick-bozich,tom-bragg,rick-bozich
7,aaron-brenner,rick-bozich,kevin-brockway,lauren-brownlow,tom-bragg,kevin-brockway,kevin-brockway
8,kevin-brockway,aaron-brenner,jp-butler,jp-butler,lauren-brownlow,lauren-brownlow,lauren-brownlow
9,jp-butler,kevin-brockway,jason-butt,jason-butt,jeff-call,joe-buettner,joe-buettner
10,christian-caple,jp-butler,christian-caple,jerry-carino,jerry-carino,jeff-call,jeff-call
11,jerry-carino,jason-butt,jerry-carino,david-cloninger,david-cloninger,jerry-carino,jerry-carino
12,andrew-carter,christian-caple,david-cloninger,david-cobb,mark-cooper,christina-chambers,david-cloninger
13,chris-dachille,nick-carboni,graham-couch,mark-cooper,graham-couch,david-cloninger,clayton-collier
14,kieran-darcy,jerry-carino,richard-croome,graham-couch,james-crepea,james-crepea,bennett-conlin
15,seth-davis,ray-coleman,chris-dachille,richard-croome,richard-croome,rob-dauster,james-crepea
16,doug-doughty,graham-couch,seth-davis,gary-damato,seth-davis,seth-davis,seth-davis
17,jay-drew,richard-croome,doug-doughty,chris-dachille,luke-decock,luke-decock,luke-decock
18,jeff-faraudo,chris-dachille,john-feinstein,seth-davis,donna-ditota,donna-ditota,donna-ditota
19,john-feinstein,seth-davis,justin-ferguson,luke-decock,john-feinstein,doug-doughty,doug-doughty
20,ben-frederickson,doug-doughty,clay-fowler,doug-doughty,marcus-fuller,jack-ebling,jack-ebling
21,chris-goff,jay-drew,marcus-fuller,john-feinstein,scott-gleeson,wayne-epps,wayne-epps
22,cormac-gordon,jeff-faraudo,chris-goff,justin-ferguson,geoff-grammer,john-feinstein,john-feinstein
23,geoff-grammer,john-feinstein,cormac-gordon,marcus-fuller,steve-hewitt,marcus-fuller,marcus-fuller
24,doug-haller,marcus-fuller,geoff-grammer,scott-gleeson,drew-hill,geoff-grammer,geoff-grammer
25,kelly-hines,chris-goff,doug-haller,chris-goff,brian-holland,adam-grosbard,adam-grosbard
26,bob-holt,cormac-gordon,craig-handel,geoff-grammer,bob-holt,jordan-hansen,jordan-hansen
27,brian-howell,geoff-grammer,kelly-hines,doug-haller,cecil-hurt,steve-hewitt,steve-hewitt
28,cecil-hurt,tom-green,bob-holt,bob-holt,terry-hutchens,brian-holland,brian-holland
29,marcus-jackson,doug-haller,cecil-hurt,cecil-hurt,joe-juliano,bob-holt,bob-holt
30,joey-johnston,kelly-hines,joe-juliano,justin-jackson,paul-klee,cecil-hurt,donald-hunt
31,joe-juliano,bob-holt,hugh-kellenberger,joe-juliano,joey-knight,joe-juliano,cecil-hurt
32,tom-keegan,cecil-hurt,paul-klee,paul-klee,theo-lawson,lauren-kirschman,david-jablonski
33,bill-knight,marcus-jackson,joe-leadingham,joey-knight,scott-mansch,paul-klee,justin-jackson
34,chris-lang,joe-juliano,andrew-lopez,theo-lawson,dave-matter,zach-klein,ethan-joyce
35,kevin-lyttle,michelle-kaufman,kevin-lyttle,andrew-lopez,matt-mccoy,joey-knight,joe-juliano
36,fletcher-mackel,laura-keeley,scott-mansch,kevin-lyttle,brian-mcinnis,chad-leistikow,lauren-kirschman
37,scott-mansch,kevin-lyttle,matt-mccoy,scott-mansch,kevin-mcnamara,dave-matter,paul-klee
38,brandon-marcello,fletcher-mackel,john-mcnamara,dave-matter,craig-meyer,matt-mccoy,zach-klein
39,matt-mccoy,scott-mansch,kevin-mcnamara,matt-mccoy,sheldon-mickles,brian-mcinnis,chad-leistikow
40,john-mcnamara,matt-mccoy,craig-meyer,brian-mcinnis,chris-murray,kevin-mcnamara,dave-matter
41,kevin-mcnamara,chuck-mcgill,sheldon-mickles,john-mcnamara,jesse-newell,stephen-means,kevin-mcnamara
42,ron-morris,john-mcnamara,mandy-mitchell,kevin-mcnamara,thuc-nhi-nguyen,craig-meyer,stephen-means
43,chris-murray,kevin-mcnamara,chris-murray,craig-meyer,jon-nyatawa,sheldon-mickles,craig-meyer
44,zach-osterman,chris-murray,patrick-murray,sheldon-mickles,zach-osterman,chris-murray,sheldon-mickles
45,soren-petro,dana-oneil,jon-nyatawa,antonio-morales,bruce-pascoe,jesse-newell,chris-murray
46,steve-pivovar,zach-osterman,dana-oneil,chris-murray,dave-preston,bruce-pascoe,matt-murschel
47,bj-rains,tod-palmer,zach-osterman,jesse-newell,bj-rains,dave-preston,jesse-newell
48,joe-rexrode,soren-petro,tod-palmer,thuc-nhi-nguyen,scott-richey,troy-provostheron,bruce-pascoe
49,randy-rosetta,bj-rains,tony-parks,jon-nyatawa,jon-rothstein,jeff-rabjohns,dave-preston
50,daniel-shirley,ryan-recker,soren-petro,zach-osterman,shannon-ryan,bj-rains,troy-provostheron
51,jason-smith,scott-richey,krista-pirtle,tony-parks,carlos-silva,scott-richey,jeff-rabjohns
52,bret-strelow,pat-rooney,bj-rains,bj-rains,damien-sordelett,jon-rothstein,bj-rains
53,terry-toohey,randy-rosetta,scott-richey,joe-rexrode,ben-steele,shannon-ryan,scott-richey
54,matt-vautour,jon-rothstein,jon-rothstein,scott-richey,edgar-thompson,carlos-silva,jon-rothstein
55,matt-velazquez,shannon-ryan,shannon-ryan,jon-rothstein,terry-toohey,ben-steele,shannon-ryan
56,mitch-vingle,adam-sparks,stephen-schramm,shannon-ryan,dick-vitale,nick-suss,ben-steele
57,dick-vitale,bret-strelow,terry-toohey,lindsay-schnell,josh-vitale,bob-sutton,nick-suss
58,john-werner,bob-sutton,matt-vautour,carlos-silva,ken-weinman,edgar-thompson,edgar-thompson
59,tj-werre,terry-toohey,matt-velazquez,ben-steele,john-werner,terry-toohey,stephen-tsai
60,gary-williams,matt-vautour,mitch-vingle,terry-toohey,tj-werre,dick-vitale,dick-vitale
61,jon-wilner,matt-velazquez,dick-vitale,matt-vautour,brant-wilkerson,ken-weinman,josh-vitale
62,steve-wiseman,dick-vitale,jon-wilner,dick-vitale,jon-wilner,john-werner,ken-weinman
63,scott-wolf,john-werner,steve-wiseman,brant-wilkerson,scott-wolf,jon-wilner,john-werner
64,paul-zeise,jon-wilner,scott-wolf,jon-wilner,norm-wood,scott-wolf,jon-wilner
65,,scott-wolf,,scott-wolf,,,scott-wolf
66,,,,norm-wood,,,
