,Weights,2014 1,2014 2,2014 3,2014 4,2014 5,2014 6,2014 7,2014 8,2014 9,2014 10,2014 11,2014 12,2014 13,2014 14,2014 15,2014 16,2014 17,2014 18,2014 19,2015 1,2015 2,2015 3,2015 4,2015 5,2015 6,2015 7,2015 8,2015 9,2015 10,2015 11,2015 12,2015 13,2015 14,2015 15,2015 16,2015 17,2015 18,2015 19,2016 1,2016 2,2016 3,2016 4,2016 5,2016 6,2016 7,2016 8,2016 9,2016 10,2016 11,2016 12,2016 13,2016 14,2016 15,2016 16,2016 17,2016 18,2016 19,2017 1,2017 2,2017 3,2017 4,2017 5,2017 6,2017 7,2017 8,2017 9,2017 10,2017 11,2017 12,2017 13,2017 14,2017 15,2017 16,2017 17,2017 18,2017 19,2018 1,2018 2,2018 3,2018 4,2018 5,2018 6,2018 7,2018 8,2018 9,2018 10,2018 11,2018 12,2018 13,2018 14,2018 15,2018 16,2018 17,2018 18,2018 19,2019 1,2019 2,2019 3,2019 4,2019 5,2019 6,2019 7,2019 8,2019 9,2019 10,2019 11,2019 12,2019 13,2019 14,2019 15,2019 16,2019 17,2019 18,2019 19
0,1.0,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,duke,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,kentucky,north-carolina,north-carolina,kentucky,kentucky,michigan-state,michigan-state,michigan-state,michigan-state,kansas,kansas,oklahoma,oklahoma,oklahoma,villanova,villanova,villanova,kansas,kansas,kansas,duke,duke,kentucky,kentucky,villanova,villanova,villanova,villanova,villanova,baylor,villanova,villanova,gonzaga,gonzaga,gonzaga,gonzaga,kansas,,villanova,duke,michigan-state,duke,duke,duke,villanova,villanova,villanova,michigan-state,villanova,villanova,villanova,villanova,villanova,virginia,virginia,virginia,virginia,virginia,kansas,duke,duke,gonzaga,gonzaga,kansas,kansas,michigan,duke,duke,duke,tennessee,tennessee,tennessee,tennessee,duke,gonzaga,virginia,duke,michigan-state,kentucky,duke,duke,louisville,louisville,kansas,ohio-state,gonzaga,gonzaga,gonzaga,baylor,baylor,baylor,baylor,baylor,kansas,kansas,gonzaga
1,0.5,arizona,arizona,wisconsin,wisconsin,arizona,duke,arizona,virginia,duke,virginia,virginia,virginia,gonzaga,virginia,virginia,virginia,virginia,duke,villanova,kentucky,kentucky,maryland,maryland,kansas,kansas,kansas,kansas,oklahoma,oklahoma,north-carolina,north-carolina,north-carolina,maryland,kansas,kansas,michigan-state,michigan-state,michigan-state,kentucky,kentucky,villanova,villanova,ucla,ucla,ucla,ucla,baylor,kansas,kansas,kansas,kansas,villanova,villanova,villanova,villanova,,gonzaga,michigan-state,arizona,arizona,kansas,kansas,michigan-state,michigan-state,michigan-state,duke,west-virginia,virginia,virginia,virginia,virginia,michigan-state,michigan-state,michigan-state,villanova,villanova,kentucky,kansas,kansas,kansas,kansas,tennessee,duke,tennessee,michigan,michigan,michigan,duke,duke,duke,duke,gonzaga,virginia,north-carolina,virginia,kentucky,duke,louisville,louisville,kansas,kansas,gonzaga,louisville,duke,duke,baylor,gonzaga,gonzaga,gonzaga,gonzaga,gonzaga,baylor,dayton,byu
2,0.3333333333333333,wisconsin,wisconsin,arizona,arizona,louisville,arizona,louisville,wisconsin,virginia,gonzaga,gonzaga,gonzaga,virginia,gonzaga,gonzaga,gonzaga,duke,virginia,wisconsin,maryland,maryland,michigan-state,michigan-state,north-carolina,oklahoma,oklahoma,oklahoma,maryland,maryland,kansas,iowa,villanova,oklahoma,oklahoma,oklahoma,villanova,villanova,north-carolina,kansas,villanova,north-carolina,north-carolina,kansas,kansas,kansas,kansas,kansas,villanova,ucla,gonzaga,baylor,kansas,kansas,kansas,ucla,,kansas,arizona,kansas,kansas,michigan-state,michigan-state,wichita-state,arizona-state,arizona-state,villanova,virginia,purdue,purdue,purdue,purdue,villanova,villanova,xavier,xavier,xavier,gonzaga,gonzaga,gonzaga,duke,duke,gonzaga,tennessee,kansas,tennessee,tennessee,tennessee,virginia,virginia,virginia,gonzaga,virginia,duke,duke,north-carolina,kansas,michigan-state,michigan-state,michigan-state,maryland,ohio-state,louisville,duke,kansas,kansas,duke,kansas,kansas,kansas,kansas,kansas,gonzaga,baylor,arizona
3,0.25,duke,duke,duke,duke,wisconsin,louisville,wisconsin,louisville,wisconsin,duke,villanova,duke,duke,duke,duke,duke,villanova,villanova,duke,kansas,kansas,iowa-state,kansas,iowa-state,kentucky,maryland,maryland,virginia,michigan-state,villanova,kansas,maryland,iowa,iowa,virginia,virginia,virginia,virginia,villanova,oregon,kansas,kansas,duke,baylor,duke,baylor,ucla,ucla,gonzaga,kentucky,villanova,louisville,baylor,arizona,gonzaga,,arizona,kansas,villanova,michigan-state,villanova,villanova,arizona-state,duke,duke,arizona-state,michigan-state,oklahoma,duke,duke,michigan-state,xavier,xavier,villanova,duke,kansas,duke,virginia,virginia,virginia,virginia,michigan,michigan,nevada,virginia,virginia,virginia,gonzaga,gonzaga,gonzaga,virginia,kentucky,kentucky,tennessee,gonzaga,duke,louisville,kansas,kansas,michigan,maryland,duke,kansas,oregon,baylor,auburn,san-diego-state,san-diego-state,san-diego-state,san-diego-state,san-diego-state,dayton,san-diego-state,vermont
4,0.2,kansas,kansas,north-carolina,louisville,villanova,virginia,villanova,villanova,louisville,villanova,duke,wisconsin,wisconsin,wisconsin,wisconsin,wisconsin,arizona,arizona,arizona,duke,duke,kansas,iowa-state,kentucky,iowa-state,virginia,virginia,michigan-state,north-carolina,xavier,villanova,iowa,xavier,north-carolina,xavier,xavier,xavier,oregon,oregon,north-carolina,duke,duke,kentucky,kentucky,kentucky,duke,gonzaga,gonzaga,kentucky,baylor,arizona,oregon,arizona,ucla,north-carolina,,north-carolina,kentucky,kentucky,villanova,notre-dame,florida,north-carolina,north-carolina,xavier,xavier,purdue,duke,kansas,michigan-state,xavier,cincinnati,duke,duke,gonzaga,michigan-state,virginia,tennessee,tennessee,nevada,michigan,nevada,virginia,gonzaga,kansas,gonzaga,gonzaga,michigan,michigan,kentucky,kentucky,tennessee,north-carolina,kentucky,michigan-state,louisville,kansas,north-carolina,maryland,virginia,michigan,ohio-state,oregon,ohio-state,auburn,butler,florida-state,florida-state,louisville,louisville,dayton,san-diego-state,kentucky,
5,0.16666666666666666,north-carolina,north-carolina,louisville,texas,texas,villanova,gonzaga,gonzaga,gonzaga,louisville,wisconsin,arizona,arizona,villanova,villanova,villanova,wisconsin,wisconsin,virginia,iowa-state,virginia,duke,oklahoma,maryland,maryland,xavier,xavier,north-carolina,villanova,west-virginia,xavier,xavier,kansas,maryland,michigan-state,oklahoma,oklahoma,villanova,north-carolina,kansas,virginia,virginia,north-carolina,north-carolina,gonzaga,louisville,kentucky,kentucky,baylor,florida-state,louisville,baylor,ucla,oregon,oregon,,kentucky,villanova,florida,wichita-state,kentucky,wichita-state,kentucky,kentucky,west-virginia,west-virginia,wichita-state,west-virginia,michigan-state,xavier,cincinnati,purdue,texas-tech,kansas,cincinnati,cincinnati,tennessee,nevada,nevada,tennessee,nevada,auburn,nevada,michigan-state,nevada,michigan-state,michigan-state,michigan-state,michigan-state,nevada,michigan,nevada,michigan-state,michigan,tennessee,florida,north-carolina,maryland,north-carolina,ohio-state,gonzaga,kentucky,auburn,baylor,butler,kansas,louisville,louisville,dayton,dayton,duke,florida-state,florida-state,
6,0.14285714285714285,florida,louisville,texas,virginia,gonzaga,gonzaga,texas,arizona,arizona,wisconsin,arizona,villanova,villanova,arizona,arizona,arizona,gonzaga,gonzaga,gonzaga,arizona,oklahoma,oklahoma,duke,oklahoma,duke,north-carolina,north-carolina,arizona,xavier,maryland,maryland,kansas,virginia,virginia,north-carolina,north-carolina,north-carolina,oklahoma,virginia,virginia,arizona,xavier,gonzaga,gonzaga,north-carolina,gonzaga,west-virginia,duke,west-virginia,arizona,west-virginia,wisconsin,oregon,louisville,arizona,,duke,wichita-state,usc,florida,wichita-state,kentucky,xavier,xavier,wichita-state,oklahoma,duke,wichita-state,west-virginia,kansas,texas-tech,texas-tech,gonzaga,gonzaga,kansas,michigan,nevada,north-carolina,north-carolina,michigan,tennessee,michigan-state,auburn,virginia-tech,gonzaga,kansas,kansas,nevada,kentucky,michigan,nevada,michigan,tennessee,texas-tech,kentucky,maryland,maryland,virginia,virginia,north-carolina,kentucky,maryland,michigan,louisville,san-diego-state,san-diego-state,dayton,dayton,duke,duke,maryland,duke,seton-hall,
7,0.125,louisville,florida,virginia,wichita-state,kansas,texas,kansas,iowa-state,villanova,kansas,notre-dame,notre-dame,kansas,kansas,kansas,kansas,wichita-state,maryland,notre-dame,michigan-state,wichita-state,villanova,villanova,villanova,virginia,arizona,arizona,providence,duke,iowa,west-virginia,virginia,michigan-state,xavier,iowa,oregon,oregon,west-virginia,arizona,wisconsin,xavier,gonzaga,creighton,creighton,creighton,kentucky,duke,creighton,creighton,ucla,kentucky,north-carolina,louisville,north-carolina,louisville,,ucla,florida,xavier,kentucky,cincinnati,notre-dame,gonzaga,west-virginia,virginia,virginia,texas-tech,texas-tech,xavier,cincinnati,auburn,ohio-state,kansas,purdue,wichita-state,gonzaga,north-carolina,villanova,auburn,auburn,auburn,texas-tech,gonzaga,texas-tech,michigan-state,texas-tech,texas-tech,kentucky,nevada,north-carolina,north-carolina,north-carolina,michigan,michigan-state,michigan,gonzaga,gonzaga,gonzaga,gonzaga,kentucky,oregon,oregon,butler,auburn,michigan-state,oregon,duke,villanova,florida-state,florida-state,florida-state,kentucky,maryland,
8,0.1111111111111111,virginia,virginia,wichita-state,gonzaga,wichita-state,wichita-state,wichita-state,texas,texas,arizona,iowa-state,kansas,louisville,louisville,notre-dame,notre-dame,kansas,kansas,iowa-state,california,gonzaga,north-carolina,north-carolina,virginia,purdue,butler,butler,kentucky,west-virginia,michigan-state,providence,michigan-state,north-carolina,michigan-state,arizona,west-virginia,west-virginia,xavier,michigan-state,arizona,louisville,baylor,louisville,louisville,louisville,north-carolina,louisville,florida-state,north-carolina,north-carolina,virginia,arizona,west-virginia,baylor,kentucky,,oregon,north-carolina,gonzaga,north-carolina,north-carolina,north-carolina,kansas,wichita-state,tcu,wichita-state,oklahoma,michigan-state,cincinnati,arizona,duke,gonzaga,purdue,north-carolina,north-carolina,duke,villanova,kentucky,michigan,michigan-state,kentucky,north-carolina,north-carolina,auburn,florida-state,virginia-tech,virginia-tech,kansas,north-carolina,michigan-state,marquette,michigan-state,marquette,lsu,texas-tech,north-carolina,virginia,kentucky,kentucky,gonzaga,baylor,virginia,maryland,villanova,oregon,florida-state,villanova,duke,maryland,maryland,penn-state,maryland,louisville,
9,0.1,texas,texas,gonzaga,villanova,ohio-state,ohio-state,maryland,maryland,maryland,iowa-state,louisville,louisville,notre-dame,notre-dame,northern-iowa,northern-iowa,maryland,notre-dame,kansas,wisconsin,villanova,gonzaga,virginia,purdue,xavier,providence,kentucky,xavier,providence,arizona,virginia,providence,west-virginia,west-virginia,maryland,louisville,purdue,kentucky,louisville,xavier,gonzaga,creighton,xavier,virginia,west-virginia,creighton,creighton,west-virginia,florida-state,oregon,wisconsin,ucla,north-carolina,duke,west-virginia,,louisville,usc,louisville,usc,usc,gonzaga,seton-hall,gonzaga,kansas,kansas,xavier,kansas,north-carolina,texas-tech,kansas,auburn,north-carolina,cincinnati,tennessee,north-carolina,michigan-state,michigan-state,kentucky,kentucky,michigan-state,virginia-tech,michigan-state,ohio-state,virginia-tech,nevada,nevada,virginia-tech,marquette,marquette,michigan-state,marquette,texas-tech,purdue,florida-state,villanova,villanova,ohio-state,ohio-state,duke,auburn,baylor,michigan-state,butler,florida-state,kentucky,seton-hall,seton-hall,villanova,seton-hall,kentucky,creighton,creighton,
