,2013,2014,2015,2016,2017,2018,2019,2020
0,elton-alexander,elton-alexander,elton-alexander,elton-alexander,elton-alexander,elton-alexander,chris-basnett,bob-ballou
1,percy-allen,tyson-alger,tyson-alger,tyson-alger,tyson-alger,kayla-anderson,jessica-benson,chris-basnett
2,mike-barber,jim-benson,mike-barber,mike-barber,mark-berman,john-bednarowski,mark-berman,mark-berman
3,jim-benson,mark-berman,mark-berman,mark-berman,john-bohnenkamp,mark-berman,sam-blum,sam-blum
4,mark-berman,john-bohnenkamp,john-bohnenkamp,john-bohnenkamp,dave-borges,john-bohnenkamp,dave-borges,dave-borges
5,john-bohnenkamp,dave-borges,dave-borges,dave-borges,rick-bozich,dave-borges,rick-bozich,jeff-borzello
6,dave-borges,rick-bozich,zac-boyer,rick-bozich,kevin-brockway,rick-bozich,tom-bragg,rick-bozich
7,rick-bozich,aaron-brenner,rick-bozich,kevin-brockway,lauren-brownlow,tom-bragg,kevin-brockway,kevin-brockway
8,aaron-brenner,kevin-brockway,aaron-brenner,j.p.-butler,j.p.-butler,lauren-brownlow,lauren-brownlow,lauren-brownlow
9,kevin-brockway,j.p.-butler,kevin-brockway,jason-butt,jason-butt,jeff-call,joe-buettner,joe-buettner
10,j.p.-butler,christian-caple,j.p.-butler,christian-caple,jerry-carino,jerry-carino,jeff-call,jeff-call
11,jerry-carino,jerry-carino,jason-butt,jerry-carino,david-cloninger,david-cloninger,jerry-carino,jerry-carino
12,chuck-carlton,andrew-carter,christian-caple,david-cloninger,david-cobb,mark-cooper,christina-chambers,david-cloninger
13,andrew-carter,chris-dachille,nick-carboni,graham-couch,mark-cooper,graham-couch,david-cloninger,clayton-collier
14,chris-dachille,kieran-darcy,jerry-carino,richard-croome,graham-couch,james-crepea,james-crepea,bennett-conlin
15,kieran-darcy,seth-davis,ray-coleman,chris-dachille,richard-croome,richard-croome,rob-dauster,james-crepea
16,seth-davis,doug-doughty,graham-couch,seth-davis,gary-d'amato,seth-davis,seth-davis,seth-davis
17,dustin-dopirak,jay-drew,richard-croome,doug-doughty,chris-dachille,luke-decock,luke-decock,luke-decock
18,doug-doughty,jeff-faraudo,chris-dachille,john-feinstein,seth-davis,donna-ditota,donna-ditota,donna-ditota
19,seth-emerson,john-feinstein,seth-davis,justin-ferguson,luke-decock,john-feinstein,doug-doughty,doug-doughty
