,Weights,2014 1,2014 2,2014 3,2014 4,2014 5,2014 6,2014 7,2014 8,2014 9,2014 10,2014 11,2014 12,2014 13,2014 14,2014 15,2014 16,2014 17,2014 18,2014 19,2015 1,2015 2,2015 3,2015 4,2015 5,2015 6,2015 7,2015 8,2015 9,2015 10,2015 11,2015 12,2015 13,2015 14,2015 15,2015 16,2015 17,2015 18,2015 19,2016 1,2016 2,2016 3,2016 4,2016 5,2016 6,2016 7,2016 8,2016 9,2016 10,2016 11,2016 12,2016 13,2016 14,2016 15,2016 16,2016 17,2016 18,2016 19,2017 1,2017 2,2017 3,2017 4,2017 5,2017 6,2017 7,2017 8,2017 9,2017 10,2017 11,2017 12,2017 13,2017 14,2017 15,2017 16,2017 17,2017 18,2017 19,2018 1,2018 2,2018 3,2018 4,2018 5,2018 6,2018 7,2018 8,2018 9,2018 10,2018 11,2018 12,2018 13,2018 14,2018 15,2018 16,2018 17,2018 18,2018 19,2019 1,2019 2,2019 3,2019 4,2019 5,2019 6,2019 7,2019 8,2019 9,2019 10,2019 11,2019 12,2019 13,2019 14,2019 15,2019 16,2019 17,2019 18,2019 19
0,0,-23,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-19,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,N/A,-24,-24,-17,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-17,-24,-22,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,-1
1,1,-20,-22,-22,-22,-22,-22,-17,-20,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-14,-19,-22,-21,-20,-21,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-21,-20,-21,-14,-22,-22,-22,-22,-21,-21,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,N/A,-20,-22,-15,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-19,-22,-22,-22,-22,-22,-22,-21,-22,-15,-21,-20,-22,-22,-22,-22,-22,-22,-22,-20,-22,-22,-22,-22,-22,-22,-19,-22,-21,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,1
2,2,-17,-20,-20,-20,-19,-20,-15,-18,-20,-20,-20,-20,-20,-20,-20,-20,-20,-19,-20,-10,-17,-18,-19,-18,-18,-19,-20,-20,-18,-20,-20,-17,-19,-20,-18,-19,-17,-17,-12,-20,-20,-20,-20,-19,-18,-20,-20,-20,-20,-20,-20,-20,-20,-20,-19,N/A,-18,-20,-13,-19,-19,-20,-18,-19,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-17,-20,-20,-19,-20,-20,-20,-19,-20,-13,-19,-18,-19,-20,-20,-20,-20,-20,-20,-18,-20,-20,-20,-20,-20,-20,-17,-18,-17,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-1
3,3,-12,-17,-18,-18,-17,-17,-12,-16,-18,-18,-18,-18,-16,-18,-18,-18,-18,-17,-17,-7,-15,-16,-15,-16,-16,-16,-18,-18,-16,-18,-16,-15,-17,-17,-16,-15,-15,-15,-10,-18,-18,-18,-17,-17,-14,-18,-18,-18,-18,-18,-18,-17,-18,-16,-17,N/A,-16,-17,-7,-17,-17,-18,-15,-17,-18,-18,-18,-18,-18,-18,-17,-18,-18,-18,-14,-18,-18,-17,-18,-18,-18,-17,-18,-10,-17,-16,-16,-18,-18,-18,-18,-18,-18,-16,-18,-18,-18,-17,-15,-18,-15,-16,-15,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1
4,4,-9,-15,-16,-16,-12,-14,-10,-14,-16,-16,-16,-15,-14,-14,-16,-16,-16,-14,-15,-5,-13,-13,-13,-14,-14,-13,-16,-16,-14,-13,-14,-13,-15,-15,-14,-13,-12,-13,-8,-16,-16,-16,-14,-12,-12,-16,-15,-15,-16,-16,-16,-15,-16,-14,-15,N/A,-14,-14,-5,-15,-14,-16,-12,-15,-15,-16,-16,-16,-16,-16,-15,-16,-15,-15,-11,-16,-16,-14,-16,-16,-16,-15,-16,-8,-14,-13,-12,-16,-16,-16,-16,-16,-16,-14,-16,-16,-16,-15,-13,-16,-13,-14,-13,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,N/A
5,5,-7,-12,-14,-14,-10,-11,-7,-11,-14,-14,-12,-13,-11,-11,-14,-14,-14,-12,-13,-1,-11,-11,-11,-12,-11,-10,-11,-14,-12,-11,-12,-11,-13,-11,-11,-11,-9,-10,-6,-14,-13,-14,-11,-10,-9,-12,-13,-12,-14,-14,-14,-12,-14,-12,-13,N/A,-12,-10,-3,-13,-11,-12,-12,-12,-13,-14,-14,-14,-14,-14,-13,-12,-11,-12,-9,-14,-13,-12,-14,-14,-14,-8,-14,-6,-11,-11,-10,-14,-14,-14,-14,-14,-14,-11,-14,-14,-12,-12,-11,-14,-11,-12,-10,-14,-13,-14,-14,-14,-13,-14,-14,-14,-12,N/A
6,6,-5,-10,-12,-12,-8,-9,-5,-9,-12,-12,-10,-9,-9,-9,-11,-11,-12,-10,-11,1,-6,-9,-9,-9,-9,-7,-7,-9,-10,-9,-9,-8,-11,-9,-9,-8,-6,-7,-2,-9,-9,-12,-9,-7,-7,-10,-11,-9,-12,-11,-12,-10,-12,-10,-10,N/A,-10,-8,-1,-10,-8,-10,-7,-9,-11,-11,-12,-12,-12,-12,-11,-10,-9,-10,-5,-12,-11,-10,-12,-12,-12,-5,-10,-4,-8,-7,-8,-9,-12,-12,-12,-12,-12,-9,-12,-10,-10,-10,-9,-12,-9,-10,-7,-12,-11,-12,-12,-12,-11,-12,-12,-12,-10,N/A
7,7,-3,-8,-10,-10,-6,-7,-2,-6,-6,-9,-7,-6,-7,-7,-9,-8,-9,-7,-9,3,-4,-6,-7,-6,-5,-4,-5,-7,-8,-7,-7,-5,-9,-6,-6,-5,-4,-5,3,-6,-7,-9,-6,-5,-5,-8,-9,-7,-10,-9,-10,-8,-10,-8,-8,N/A,-8,-5,4,-8,-5,-6,-4,-7,-9,-9,-10,-10,-10,-10,-9,-7,-7,-8,-2,-10,-9,-8,-10,-10,-10,-2,-8,-2,-5,-5,-6,-6,-8,-10,-10,-10,-9,-7,-10,-8,-8,-8,-7,-8,-6,-8,-4,-10,-9,-10,-9,-10,-9,-10,-10,-10,-7,N/A
8,8,0,-5,-7,-7,-2,0,0,-3,-4,-5,-5,-4,-5,-5,-5,-6,-6,-5,-5,5,-2,-4,-5,-3,-3,-1,-3,-4,-4,-5,-4,-3,-7,-5,-3,-3,-2,-3,5,-4,-4,-6,-4,-3,-3,-6,-7,-5,-7,-7,-8,-6,-7,-6,-6,N/A,-6,-3,6,-6,-3,-3,-2,-4,-7,-6,-8,-7,-7,-7,-6,-5,-5,-5,0,-7,-6,-6,-8,-8,-7,0,-6,0,-3,-3,-4,-4,-4,-7,-7,-8,-7,-5,-8,-6,-6,-6,-5,-6,-4,-6,-2,-6,-6,-8,-7,-7,-7,-8,-7,-8,-4,N/A
9,9,2,-3,-5,-5,2,2,3,-1,-2,-3,-3,-2,-3,-3,-3,-3,-4,-2,-3,8,0,-2,-2,-1,-1,1,-1,-2,-2,-3,-2,-1,-5,-3,0,-1,0,1,8,-2,-2,-2,0,-1,-1,-4,-5,-3,-5,-4,-6,-4,-5,-4,-3,N/A,-4,-1,4,-4,4,0,0,-2,-4,-4,-5,-5,-5,-3,-4,-3,-2,-3,2,-3,-4,-1,-5,-6,-5,2,-4,2,-1,-1,-2,-2,-2,-5,-5,-6,-4,-3,-6,-4,-4,-4,-3,-3,-2,-3,-3,-3,-4,-3,-5,-5,-5,-6,-5,-6,-1,N/A
