,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
0,1,1114,H,florida,68,-6400,0.9846153846153847,1,W,8.0,7.0,11.0,17.0,9.0,13.0,12.0,4.0,8.0,6.0,7.0,12.0,8.0,8.0,7.0,11.0,7.0,6.0,13.0,4.0,9.0,6.0,11.0,9.0,9.0,7.0,7.0,11.0,8.0,7.0,9.0,8.0,9.0,7.0,7.0,10.0,5.0,7.0,10.0,7.0,4.0,9.0,9.0,9.0,9.0,11.0,11.0,6.0,5.0,12.0,6.0,7.0,9.0,7.0,6.0,7.0,6.0,9.0,9.0,9.0,6.0,6.0,7.0,9.0,8.0
1,3,1114,H,tennessee,69,300,0.25,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,1114,H,louisville,81,-465,0.8230088495575221,1,W,4.0,12.0,6.0,12.0,8.0,7.0,8.0,9.0,6.0,8.0,10.0,5.0,9.0,7.0,9.0,12.0,11.0,14.0,9.0,11.0,13.0,11.0,4.0,7.0,12.0,10.0,8.0,10.0,15.0,8.0,7.0,7.0,7.0,8.0,9.0,12.0,13.0,8.0,11.0,8.0,3.0,7.0,14.0,6.0,5.0,10.0,6.0,8.0,10.0,11.0,8.0,10.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,10.0,9.0,13.0,8.0,8.0,7.0
3,8,1114,V,virginia,79,-1703,0.9445368829728231,1,W,13.0,8.0,7.0,5.0,7.0,15.0,10.0,8.0,9.0,11.0,8.0,4.0,7.0,10.0,8.0,15.0,6.0,9.0,8.0,5.0,11.0,12.0,7.0,8.0,13.0,8.0,9.0,12.0,7.0,11.0,8.0,9.0,14.0,10.0,10.0,13.0,6.0,12.0,7.0,10.0,11.0,12.0,5.0,11.0,8.0,9.0,8.0,10.0,7.0,9.0,10.0,8.0,7.0,9.0,7.0,9.0,13.0,8.0,13.0,11.0,8.0,4.0,14.0,7.0,12.0
4,10,1114,V,georgia,73,100,0.5,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,1114,H,iowa-state,93,-7750,0.9872611464968153,1,W,10.0,14.0,12.0,19.0,13.0,10.0,19.0,12.0,16.0,15.0,15.0,14.0,12.0,14.0,13.0,19.0,14.0,13.0,10.0,16.0,16.0,14.0,5.0,13.0,14.0,14.0,12.0,18.0,12.0,14.0,14.0,16.0,13.0,14.0,14.0,14.0,14.0,16.0,15.0,9.0,14.0,15.0,13.0,16.0,21.0,12.0,16.0,12.0,20.0,7.0,14.0,15.0,13.0,14.0,13.0,13.0,14.0,13.0,19.0,13.0,14.0,17.0,13.0,12.0,15.0
6,17,1114,H,illinois,80,-10025,0.9901234567901235,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,
7,19,1114,H,kansas,69,-1518,0.9381953028430161,1,W,5.0,5.0,5.0,8.0,6.0,5.0,7.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,8.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,9.0,5.0,6.0,6.0,6.0,2.0,4.0,5.0,6.0,5.0,4.0,5.0,8.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,5.0,8.0,6.0,4.0,5.0
8,23,1114,H,colorado,65,-1380,0.9324324324324325,1,W,,,,20.0,,,,,,,,,,,,,,,14.0,,,,23.0,25.0,23.0,,,24.0,,,,,,,,,,,,,,25.0,19.0,,,,,,,16.0,,,,,,,,,21.0,,,,19.0,,
9,25,1114,H,alabama,82,-1340,0.9305555555555556,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,27,1114,H,byu,95,-1040,0.9122807017543859,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,
