,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
0,0,1113,V,colorado,62.0,475,0.17391304347826086,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1113,H,iowa-state,68.0,-600,0.8571428571428571,1,W,12.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,15.0,7.0,6.0,7.0,9.0,7.0,6.0,8.0,20.0,9.0,4.0,10.0,8.0,8.0,5.0,12.0,9.0,6.0,3.0,10.0,6.0,6.0,7.0,10.0,8.0,7.0,6.0,7.0,5.0,11.0,9.0,7.0,11.0,6.0,11.0,6.0,7.0,9.0,8.0,5.0,10.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,12.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,
2,3,1113,H,michigan-state,82.0,NL,0.5,1,W,21.0,13.0,10.0,19.0,15.0,15.0,11.0,10.0,7.0,18.0,14.0,11.0,13.0,11.0,12.0,10.0,12.0,8.0,11.0,16.0,12.0,13.0,20.0,10.0,14.0,14.0,16.0,13.0,14.0,15.0,12.0,13.0,10.0,14.0,14.0,12.0,14.0,13.0,12.0,9.0,9.0,17.0,12.0,10.0,13.0,12.0,9.0,11.0,18.0,13.0,12.0,11.0,10.0,14.0,14.0,13.0,18.0,13.0,12.0,15.0,13.0,17.0,12.0,17.0,16.0,
3,11,1113,H,seton-hall,84.0,-685,0.8726114649681529,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,1113,V,temple,67.0,420,0.19230769230769232,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,1113,H,north-carolina,91.0,-545,0.8449612403100775,1,W,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,
6,17,1113,H,xavier,81.0,NL,0.5,1,W,,,,24.0,,,,,22.0,,,,,,,,,,,,,,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,1113,V,uab,74.0,-140,0.5833333333333334,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,31,1113,H,usc,83.0,-800,0.8888888888888888,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,37,1113,H,arizona,79.0,NL,0.5,1,W,6.0,11.0,12.0,12.0,11.0,10.0,14.0,13.0,10.0,8.0,12.0,12.0,12.0,13.0,15.0,13.0,10.0,6.0,12.0,14.0,9.0,7.0,8.0,21.0,11.0,15.0,9.0,11.0,12.0,11.0,13.0,8.0,12.0,12.0,13.0,10.0,13.0,8.0,15.0,13.0,7.0,16.0,17.0,11.0,10.0,15.0,14.0,13.0,11.0,12.0,13.0,12.0,8.0,22.0,11.0,12.0,10.0,16.0,13.0,11.0,12.0,16.0,9.0,13.0,12.0,
