,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
0,1,1111,H,louisville,78,-5000,0.9803921568627451,1,W,17.0,13.0,18.0,12.0,19.0,10.0,12.0,14.0,12.0,16.0,16.0,15.0,16.0,14.0,7.0,13.0,23.0,14.0,14.0,13.0,16.0,11.0,13.0,17.0,14.0,16.0,13.0,11.0,9.0,12.0,16.0,19.0,19.0,16.0,12.0,12.0,13.0,15.0,15.0,13.0,15.0,17.0,11.0,13.0,13.0,15.0,13.0,11.0,14.0,13.0,16.0,12.0,12.0,16.0,10.0,13.0,12.0,22.0,7.0,10.0,8.0,14.0,,,
1,3,1111,H,clemson,74,-210,0.6774193548387096,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,1111,H,rhode-island,84,-3250,0.9701492537313433,1,W,,21.0,,20.0,18.0,24.0,,,,22.0,20.0,22.0,23.0,,25.0,,18.0,20.0,,,17.0,14.0,,21.0,23.0,,,,,20.0,22.0,21.0,17.0,,,22.0,,20.0,,,,21.0,22.0,24.0,25.0,23.0,22.0,,22.0,24.0,17.0,22.0,21.0,19.0,,21.0,24.0,19.0,,,22.0,,18.0,19.0,
3,15,1111,H,pittsburgh,93,-850,0.8947368421052632,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,1111,H,south-carolina,85,-550,0.8461538461538461,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,1111,H,temple,97,120,0.45454545454545453,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,21,1111,H,cincinnati,84,-5500,0.9821428571428571,1,W,,22.0,,,16.0,22.0,21.0,,23.0,,17.0,,20.0,,,25.0,,,,20.0,,15.0,23.0,,24.0,22.0,,24.0,,,,,21.0,,,,,,,,,,,,,,,,,,,20.0,24.0,23.0,24.0,25.0,,,,,19.0,20.0,20.0,,24.0
7,31,1111,H,ucla,119,-2150,0.9555555555555556,1,W,20.0,18.0,20.0,17.0,11.0,,13.0,21.0,21.0,19.0,,19.0,18.0,18.0,19.0,12.0,10.0,18.0,19.0,17.0,10.0,8.0,15.0,15.0,12.0,24.0,18.0,17.0,14.0,23.0,,11.0,18.0,15.0,21.0,23.0,7.0,19.0,10.0,15.0,21.0,15.0,18.0,21.0,,13.0,10.0,18.0,17.0,18.0,25.0,15.0,15.0,13.0,21.0,11.0,17.0,,,,16.0,24.0,16.0,25.0,14.0
8,32,1111,V,north-carolina,95,-4500,0.9782608695652174,1,W,9.0,7.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,6.0,6.0,8.0,6.0,5.0,8.0,5.0,4.0,6.0,8.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,4.0,5.0,4.0,5.0,7.0,7.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,5.0,6.0,9.0,6.0,7.0,5.0,9.0,5.0,3.0,5.0,4.0,6.0,5.0,7.0,5.0,7.0
9,44,1111,V,nevada,63,525,0.16,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,47,1111,H,san-diego-state,69,-3500,0.9722222222222222,1,W,24.0,,,,,21.0,20.0,,,,24.0,,,25.0,,,,,,,,25.0,,25.0,,,,,,25.0,,,,25.0,,,22.0,25.0,,,25.0,,,,22.0,,,,,,,,,,,,,,23.0,23.0,,,21.0,,19.0
