,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
0,1,1110,H,west-virginia,65,-330,0.7674418604651163,1,L,15.0,10.0,13.0,12.0,11.0,8.0,9.0,10.0,15.0,9.0,16.0,14.0,10.0,14.0,23.0,11.0,9.0,13.0,10.0,12.0,17.0,8.0,9.0,12.0,16.0,9.0,15.0,8.0,12.0,10.0,9.0,21.0,14.0,15.0,15.0,12.0,8.0,7.0,8.0,14.0,12.0,13.0,9.0,15.0,12.0,14.0,11.0,15.0,16.0,23.0,14.0,9.0,10.0,17.0,15.0,19.0,10.0,22.0,16.0,19.0,10.0,15.0,11.0,14.0,,,
1,3,1110,H,duke,97,-3750,0.974025974025974,1,W,2.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,
2,6,1110,V,towson,54,200,0.3333333333333333,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,1110,H,virginia-tech,111,-3500,0.9722222222222222,1,W,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
4,13,1110,H,syracuse,77,-1450,0.9354838709677419,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,1110,V,ball-state,77,200,0.3333333333333333,1,L,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,1110,H,dayton,78,-240,0.7058823529411765,1,W,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24,1110,V,northern-iowa,69,1000,0.09090909090909091,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,1110,H,north-carolina,86,-1500,0.9375,1,W,8.0,11.0,4.0,9.0,12.0,9.0,10.0,6.0,10.0,10.0,7.0,9.0,12.0,10.0,12.0,9.0,11.0,5.0,13.0,9.0,7.0,6.0,10.0,10.0,12.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,14.0,12.0,14.0,9.0,8.0,7.0,10.0,9.0,15.0,13.0,10.0,9.0,11.0,12.0,10.0,13.0,13.0,10.0,8.0,12.0,11.0,11.0,10.0,8.0,11.0,8.0,10.0,7.0,10.0,10.0,12.0,8.0,,
9,33,1110,H,western-kentucky,80,-125,0.5555555555555556,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,35,1110,H,missouri,74,-250,0.7142857142857143,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,25.0,,,,25.0,,,,25.0,21.0,,,,,,,,,,,,,,,,,25.0,,,,25.0,23.0,,,,,,
11,39,1110,H,oklahoma-state,78,-1700,0.9444444444444444,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
