,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
3,11,1106,H,davidson,83,-3500,0.9722222222222222,1,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
41,153,1106,H,missouri,68,-3750,0.974025974025974,1,W,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,190,1107,V,marshall,105,-430,0.8113207547169812,1,W,1,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,241,1109,H,davidson,79,-3000,0.967741935483871,1,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,
63,244,1109,V,missouri,59,235,0.29850746268656714,1,L,1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,475,1111,H,marshall,76,-335,0.7701149425287356,1,W,1,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,1106,H,xavier,82,-2200,0.9565217391304348,1,W,2,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,47,1106,H,providence,77,-3500,0.9722222222222222,1,W,2,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,285,1109,N,providence,80,-310,0.7560975609756098,1,L,2,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,379,1110,H,xavier,91,-4250,0.9770114942528736,1,W,2,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27,1106,H,arizona-state,102,-1000,0.9090909090909091,1,W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,
95,365,1109,H,arizona-state,80,-8500,0.9883720930232558,1,W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,
25,75,1106,H,texas,71,-12500,0.9920634920634921,1,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,23.0,,
61,239,1109,H,texas,73,-270,0.7297297297297297,1,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,23.0,,
37,139,1106,H,texas-tech,87,-63000,0.9984152139461173,1,W,6,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,187,1106,H,usc,83,-3500,0.9722222222222222,1,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,359,1109,H,texas-tech,84,-93000,0.9989258861439313,1,W,6,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,381,1110,H,butler,90,-1800,0.9473684210526315,1,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,24.0,23.0,,,
121,491,1111,H,usc,78,-125,0.5555555555555556,1,L,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,183,1106,H,san-diego-state,76,-21500,0.9953703703703703,1,W,9,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,219,1108,H,louisville,85,-4000,0.975609756097561,1,W,11,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,
31,93,1106,H,buffalo,82,NL,0.5,1,W,14,20.0,,,25.0,,,24.0,,,,,,,22.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,205,1107,H,arizona,90,-5500,0.9821428571428571,1,W,14,21.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,
71,260,1109,V,buffalo,99,475,0.17391304347826086,1,W,14,20.0,,,25.0,,,24.0,,,,,,,22.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,489,1111,H,arizona,82,-6000,0.9836065573770492,1,W,14,21.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,
39,147,1106,H,alabama,82,-25000,0.9960159362549801,1,W,15,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,
113,473,1111,H,alabama,81,-900,0.9,1,W,15,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,
52,189,1107,H,cincinnati,56,-200,0.6666666666666666,1,L,21,,,,,,,,24.0,23.0,,,,,,,,25.0,,,,,23.0,,,,,,,,,,,,,,25.0,,,,24.0,,,,22.0,,23.0,,25.0,,,,,,,,,,,,,25.0,,,,
2,7,1106,H,notre-dame,84,-750,0.8823529411764706,1,W,22,,,23.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,18.0,24.0,
58,221,1108,H,notre-dame,89,-40000,0.9975062344139651,1,W,22,,,23.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,18.0,24.0,
