,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,chris-basnett,jessica-benson,mark-berman,sam-blum,dave-borges,rick-bozich,tom-bragg,kevin-brockway,lauren-brownlow,joe-buettner,jeff-call,jerry-carino,christina-chambers,david-cloninger,james-crepea,rob-dauster,seth-davis,luke-decock,donna-ditota,doug-doughty,jack-ebling,wayne-epps,john-feinstein,marcus-fuller,geoff-grammer,adam-grosbard,jordan-hansen,steve-hewitt,brian-holland,bob-holt,cecil-hurt,joe-juliano,lauren-kirschman,paul-klee,zach-klein,joey-knight,chad-leistikow,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,stephen-means,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,bruce-pascoe,dave-preston,troy-provostheron,jeff-rabjohns,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,ben-steele,nick-suss,bob-sutton,edgar-thompson,terry-toohey,dick-vitale,ken-weinman,john-werner,jon-wilner,scott-wolf
30,135,1105,H,providence,106,-3250,0.9701492537313433,1,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,
55,215,1106,H,colgate,80,-350,0.7777777777777778,1,W,1,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,385,1109,H,dayton,86,-1000,0.9090909090909091,1,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,459,1109,H,providence,76,-2500,0.9615384615384616,1,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,
129,524,1110,V,colgate,68,300,0.25,1,L,1,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,1105,H,alabama,80,-350,0.7777777777777778,1,L,2,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,1105,H,michigan,79,-2500,0.9615384615384616,1,W,2,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,175,1105,H,usc,77,-13100,0.9924242424242424,1,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,295,1108,H,usc,76,-6000,0.9836065573770492,1,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,305,1108,H,liberty,66,-260,0.7222222222222222,1,W,2,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,308,1108,V,vermont,61,-170,0.6296296296296297,1,W,2,,,,25.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,515,1110,H,liberty,66,-16500,0.9939759036144579,1,W,2,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
