,2014,2015,2016,2017,2018,2019,2020
0,kentucky-(65)-,kansas-(63)-,villanova-(59)-,virginia-(65)-,duke-(58)-,gonzaga-,gonzaga-(60)-
1,duke-,michigan-state-(2)-,gonzaga-(6)-,villanova-,michigan-state-,dayton-,illinois-
2,villanova-,villanova-,kansas-,michigan-state-,gonzaga-(1)-,michigan-state-,baylor-
3,arizona-,north-carolina-,ucla-,xavier-,virginia-(5)-,kentucky-,houston-
4,virginia-,virginia-,arizona-,duke-,north-carolina-,duke-,michigan-
5,wisconsin-,xavier-,oregon-,gonzaga-,kentucky-,seton-hall-,alabama-
6,gonzaga-,oklahoma-,north-carolina-,michigan-,tennessee-,maryland-,ohio-state-
7,maryland-,oregon-,kentucky-,cincinnati-,michigan-,wisconsin-,iowa-
8,northern-iowa-,west-virginia-,baylor-,kansas-,texas-tech-,louisville-,texas-
9,notre-dame-,miami-(fl)-,louisville-,purdue-,lsu-,auburn-,arkansas-
10,wichita-state-,indiana-,duke-,wichita-state-,florida-state-,saint-mary's-,kansas-
11,kansas-,utah-,west-virginia-,north-carolina-,purdue-,byu-,san-diego-state-
12,iowa-state-,purdue-,southern-methodist-,tennessee-,kansas-state-,stephen-f.-austin-,creighton-
13,utah-,louisville-,purdue-,texas-tech-,buffalo-,butler-,oklahoma-state-
14,baylor-,arizona-,cincinnati-,arizona-,kansas-,kansas-,west-virginia-
15,oklahoma-,maryland-,florida-state-,west-virginia-,virginia-tech-,oklahoma-,texas-tech-
16,louisville-,texas-a&m-,florida-,ohio-state-,houston-,creighton-,loyola-(il)-
17,arkansas-,kentucky-,wichita-state-,auburn-,wisconsin-,san-diego-state-,virginia-
18,north-carolina-,iowa-,saint-mary's-,clemson-,wofford-,loyola-(il)-,florida-state-
19,west-virginia-,duke-,virginia-,houston-,nevada-,virginia-,purdue-
20,southern-methodist-,iowa-state-,butler-,saint-mary's-,auburn-,colorado-,st.-bonaventure-
21,butler-,seton-hall-,iowa-state-,nevada-,cincinnati-,oregon-,winthrop-
22,ohio-state-,cincinnati-,notre-dame-,florida-,utah-state-,purdue-,georgia-tech-
23,davidson-,valparaiso-,wisconsin-,new-mexico-state-,marquette-,virginia-tech-,connecticut-
24,georgetown-,connecticut-,middle-tennessee-,rhode-island-,maryland-,texas-tech-,byu-
